,Word,definition
7768,trained,simple past tense and past participle of train
7769,products,plural of product
7770,affectionate,(of a person) Having affection or warm regard; loving; fond.
7771,affectionate,(rare) To show affection to; to have affection for.
7772,dispute,"an argument or disagreement, a failure to agree"
7773,dispute,"(intransitive) to contend in argument; to argue against something maintained, upheld, or claimed, by another"
7774,visitors,plural of visitor
7775,poison,A substance that is harmful or lethal to a living organism.
7776,poison,(transitive) To use poison to kill or paralyse somebody
7777,proposition,(uncountable) The act of offering (an idea) for consideration.
7778,proposition,"(transitive, informal) To make a suggestion of sexual intercourse to (someone with whom one is not sexually involved)."
7779,maybe,"Modifies a verb, indicating a lack of certainty."
7780,maybe,Possible; uncertain.
7781,maybe,(informal) Something that is possibly true.
7782,rifle,"A long firearm firing a single projectile, usually with a rifled barrel to improve accuracy."
7783,rifle,"To search with intent to steal; to ransack, pillage or plunder."
7784,warned,simple past tense and past participle of warn
7785,parting,The act of parting or dividing; the state of being parted; division; separation.
7786,parting,present participle of part
7787,shield,"To protect, to defend."
7788,shield,Anything that protects or defends; defense; shelter; protection.
7789,erected,simple past tense and past participle of erect
7790,employ,The state of being an employee; employment.
7791,employ,To hire (somebody for work or a job).
7792,prevailed,simple past tense and past participle of prevail
7793,talent,A marked natural ability or skill. [from 15thc.]
7794,rises,Third-person singular simple present indicative form of rise
7795,climate,(obsolete) An area of the earth's surface between two parallels of latitude.
7796,climate,"(poetic, obsolete) To dwell."
7797,chairs,plural of chair
7798,chairs,Third-person singular simple present indicative form of chair
7799,searched,simple past tense and past participle of search
7800,unlike,Not like; dissimilar (to); having no resemblance.
7801,unlike,Differently from; not in a like or similar manner.
7802,unlike,To dislike.
7803,recover,To cover again.
7804,recover,"(transitive) To get back, regain (a physical thing lost etc.)."
7805,recover,(obsolete) Recovery. [14th-17thc.]
7806,mate,"Alternative spelling of maté, an aromatic tea-like drink prepared from the holly yerba maté (Ilex paraguariensis)."
7807,mate,(chess) Short for checkmate.
7808,mate,(intransitive) To win a game of chess by putting the opponent in checkmate
7809,mate,"A fellow, comrade, colleague, partner or someone with whom something is shared, e.g. shipmate, classmate."
7810,mate,"(intransitive) To match, fit together without space between."
7811,arrange,(transitive) To set up; to organize; to put into an orderly sequence or arrangement.
7812,fortunes,plural of fortune
7813,fortunes,Third-person singular simple present indicative form of fortune
7814,puzzled,Confused or perplexed.
7815,puzzled,simple past tense and past participle of puzzle
7816,committee,"a body of one or more persons convened for the accomplishment of some specific purpose, typically with formal protocols"
7817,aged,Old.
7818,aged,"Old people, collectively."
7819,aged,simple past tense and past participle of age
7820,Ohio,A state of the United States of America. Capital and largest city: Columbus.
7821,ashes,plural of ash
7822,ashes,Third-person singular simple present indicative form of ash
7823,ghost,(dated) The spirit; the soul of man.
7824,ghost,"(obsolete, transitive) To haunt; to appear to in the form of an apparition."
7825,b,"The second letter of the English alphabet, called bee and written in the Latin script."
7826,b,(astronomy) latitude in the galactic coordinate system
7827,promises,plural of promise
7828,promises,Third-person singular simple present indicative form of promise
7829,bushes,plural of bush
7830,effective,Having the power to produce a required effect or effects.
7831,effective,(military) A soldier fit for duty.
7832,distinguish,To recognize someone or something as different from others based on its characteristics.
7833,manifest,"Evident to the senses, especially to the sight; apparent; distinctly perceived."
7834,manifest,A list or invoice of the passengers or goods being carried by a commercial vehicle or ship.
7835,manifest,"To show plainly; to make to appear distinctly, usually to the mind; to put beyond question or doubt; to display; to exhibit."
7836,comparatively,In a comparative manner.
7837,esteem,Favourable regard.
7838,esteem,To set a high value on; to regard with respect or reverence.
7839,blew,simple past tense of blow
7840,blew,Obsolete form of blue.
7841,blew,Obsolete form of blue.
7842,revelation,The act of revealing or disclosing.
7843,wash,To clean with water.
7844,wash,The process or an instance of washing or being washed by water or other liquid.
7845,recognition,the act of recognizing or the condition of being recognized
7846,confession,The open admittance of having done something (especially something bad).
7847,clay,"A mineral substance made up of small crystals of silica and alumina, that is ductile when moist; the material of pre-fired ceramics."
7848,clay,"(transitive) To add clay to, to spread clay onto."
7849,nonsense,"Letters or words, in writing or speech, that have no meaning or pattern or seem to have no meaning."
7850,nonsense,To make nonsense of;
7851,nonsense,"(biochemistry) Resulting from the substitution of a nucleotide in a sense codon, causing it to become a stop codon (not coding for an amino-acid)."
7852,nonsense,An expression of disbelief or doubt at what one has just heard.
7853,trunk,"(heading, biological) Part of a body."
7854,trunk,(obsolete) To lop off; to curtail; to truncate.
7855,management,"(uncountable, management) Administration; The use of limited resources combined with forecasting, planning, leadership and execution skills to achieve predetermined specific goals."
7856,undoubtedly,Without doubt; definitely.
7857,dried,"Without water or moisture, said of something that has previously been wet or moist; resulting from the process of drying."
7858,dried,simple past tense and past participle of dry
7859,Dorothy,A female given name.
7860,chiefs,plural of chief
7861,chiefs,Third-person singular simple present indicative form of chief
7862,coal,"(uncountable) A black rock formed from prehistoric plant remains, composed largely of carbon and burned as a fuel."
7863,coal,(intransitive) To take on a supply of coal (usually of steam ships).
7864,stolen,past participle of steal
7865,stolen,That has been stolen.
7866,earthly,"Relating to the earth or this world, as opposed to heaven; terrestrial."
7867,earthly,"(Britain, colloquial) A slightest chance (of success etc.) or idea (about something)."
7868,earthly,in an earthy manner
7869,restore,"(transitive) To reestablish, or bring back into existence."
7870,restore,(computing) The act of recovering data or a system from a backup.
7871,indirectly,In an indirect manner.
7872,lasted,simple past tense and past participle of last
7873,selfish,Holding one's own self-interest as the standard for decision making.
7874,renewed,simple past tense and past participle of renew
7875,canoe,"A small long and narrow boat, propelled by one or more people (depending on the size of canoe), using single-bladed paddles. The paddlers face in the direction of travel, in either a seated position, or kneeling on the bottom of the boat. Canoes are open on top, and pointed at both ends."
7876,canoe,To ride or paddle a canoe.
7877,protest,(intransitive) To make a strong objection.
7878,protest,"A formal objection, especially one by a group."
7879,vice,A mechanical screw apparatus used for clamping or holding (also spelled vise).
7880,vice,"To hold or squeeze with a vice, or as if with a vice."
7881,vice,A bad habit.
7882,vice,in place of; subordinate to; designating a person below another in rank
7883,vice,"instead of, in place of"
7884,vice,One who acts in place of a superior.
7885,races,plural of race
7886,races,Third-person singular simple present indicative form of race
7887,deemed,simple past tense and past participle of deem
7888,temporary,Not permanent; existing only for a period or periods of time.
7889,temporary,One serving for a limited time; short-term employee.
7890,pile,(usually in the plural) A hemorrhoid.
7891,pile,(obsolete) A dart; an arrow.
7892,pile,(transitive) To drive piles into; to fill with piles; to strengthen with piles.
7893,pile,A mass of things heaped together; a heap.
7894,pile,"(transitive, often used with the preposition ""up"") To lay or throw into a pile or heap; to heap up; to collect into a mass; to accumulate"
7895,pile,"Hair, especially when very fine or short; the fine underfur of certain animals. (Formerly countable, now treated as a collective singular.)"
7896,Frederick,A male given name.
7897,chapel,"A place of worship, smaller than or subordinate to a church."
7898,chapel,(Wales) Describing a person who attends a nonconformist chapel.
7899,chapel,"(nautical, transitive) To cause (a ship taken aback in a light breeze) to turn or make a circuit so as to recover, without bracing the yards, the same tack on which she had been sailing."
7900,moderate,Not excessive; acting in moderation
7901,moderate,"One who holds an intermediate position between extremes, as in politics."
7902,moderate,(transitive) To reduce the excessiveness of (something)
7903,spell,"(dialectal) A splinter, usually of wood; a spelk."
7904,spell,(transitive) To work in place of (someone).
7905,spell,A shift (of work); (rare) a set of workers responsible for a specific turn of labour. [from 16th c.]
7906,spell,"(transitive, obsolete) To read (something) as though letter by letter; to peruse slowly or with effort. [from 14th c.]"
7907,spell,Words or a formula supposed to have magical powers. [from 16th c.]
7908,spell,To put under the influence of a spell; to affect by a spell; to bewitch; to fascinate; to charm.
7909,Massachusetts,A state of the United States of America Capital: Boston.
7910,upright,Vertical; erect.
7911,upright,in or into an upright position
7912,upright,"Any vertical part of a structure, especially one of the goal posts in sports."
7913,upright,(transitive) To set upright or stand back up (something that has fallen).
7914,quoted,simple past tense and past participle of quote
7915,area,(mathematics) A measure of the extent of a surface; it is measured in square units.
7916,bone,"(carpentry, masonry, surveying) To sight along an object or set of objects to check whether they are level or in line."
7917,bone,(slang) Clipping of trombone.
7918,bone,"(transitive, slang) To apprehend, steal."
7919,bone,(uncountable) A composite material consisting largely of calcium phosphate and collagen and making up the skeleton of most vertebrates.
7920,bone,"Of an off-white colour, like the colour of bone."
7921,bone,"To prepare (meat, etc) by removing the bone or bones from."
7922,solitude,"Aloneness; state of being alone or solitary, by oneself."
7923,instruments,plural of instrument
7924,instruments,Third-person singular simple present indicative form of instrument
7925,formal,Being in accord with established forms.
7926,formal,(uncountable) Formalin.
7927,students,plural of student
7928,greatness,"The state, condition, or quality of being great"
7929,struggling,present participle of struggle
7930,struggling,The act of one who struggles.
7931,Monday,"The second day of the week in many religious traditions, and the first day of the week in systems using the ISO 8601 norm. It follows Sunday and precedes Tuesday."
7932,Monday,"(US, Canada) on Monday"
7933,reproach,"A mild rebuke, or an implied criticism."
7934,reproach,To criticize or rebuke someone.
7935,altered,simple past tense and past participle of alter
7936,altered,"A kind of car in drag racing, usually with a partial body situated behind the exposed engine."
7937,altered,Having been changed from an original form.
7938,grim,"dismal and gloomy, cold and forbidding"
7939,leaped,simple past tense and past participle of leap
7940,Venice,"A maritime city and associated province in the Veneto, Italy."
7941,federal,"Pertaining to a league or treaty; derived from an agreement or covenant between parties, especially between nations."
7942,federal,(US) A law-enforcement official of the FBI; a federal agent.
7943,questioned,simple past tense and past participle of question
7944,editor,A person who edits or makes changes to documents.
7945,desirable,Worthy to be desired; pleasing; agreeable.
7946,desirable,A thing that people want; something that is desirable.
7947,acknowledge,(transitive) To admit the knowledge of; to recognize as a fact or truth; to declare one's belief in
7948,motionless,"At rest, stationary, immobile, not moving."
7949,remedy,Something that corrects or counteracts.
7950,remedy,(transitive) To provide or serve as a remedy for.
7951,bestowed,simple past tense and past participle of bestow
7952,pursue,"(transitive, intransitive) To follow urgently, originally with intent to capture or harm; to chase. [from 14th c.]"
7953,representative,Typical; having the same properties or interest as a larger group.
7954,representative,"One who may speak for another in a particular capacity, especially in negotiation."
7955,pole,"Originally, a stick; now specifically, a long and slender piece of metal or (especially) wood, used for various construction or support purposes."
7956,pole,"To propel by pushing with poles, to push with a pole."
7957,pole,"Either of the two points on the earth's surface around which it rotates; also, similar points on any other rotating object."
7958,pole,(transitive) To induce piezoelectricity in (a substance) by aligning the dipoles.
7959,gladly,In a glad manner; happily.
7960,linen,(uncountable) Thread or cloth made from flax fiber.
7961,linen,Made from linen cloth or thread.
7962,vital,"Relating to, or characteristic of life."
7963,sink,"(heading, physical) To move or be moved into something."
7964,sink,A basin used for holding water for washing
7965,pacific,"Calm, peaceful."
7966,hopeless,Without hope; despairing; not expecting anything positive.
7967,dangers,plural of danger
7968,dangers,Third-person singular simple present indicative form of danger
7969,gratefully,In a grateful manner.
7970,president,"The head of state of a republic, a representative democracy and sometimes a dictatorship."
7971,president,(archaic) Occupying the first rank or chief place; having the highest authority; presiding.
7972,travelled,British spelling standard spelling of traveled.
7973,travelled,simple past tense and past participle of travel
7974,ward,(archaic or obsolete) A guard; a guardian or watchman.
7975,ward,"(transitive) To keep in safety, to watch over, to guard."
7976,ward,"Protection, defence."
7977,nephew,"A son of one's sibling, brother-in-law, or sister-in-law; either a son of one's brother (fraternal nephew) or a son of one's sister (sororal nephew)."
7978,ms,Abbreviation of manuscript.
7979,ms,plural of m
7980,cheer,(uncountable) A cheerful attitude; gaiety; mirth. [from 14thc.]
7981,cheer,(transitive) To gladden; to make cheerful; often with up.
7982,cheer,Cheerleading.
7983,bloody,(casual) bloody mary
7984,bloody,Covered in blood.
7985,bloody,"(rare  in  US, Canada, common  in  Britain, Australia, New Zealand, slang, intensifier) Used to express anger, annoyance, shock, or for emphasis."
7986,bloody,To draw blood from one's opponent in a fight.
7987,siege,(heading) A seat.
7988,siege,"(transitive, uncommon) To assault a blockade of a city or fortress with the intent of conquering by force or attrition; to besiege."
7989,commands,Third-person singular simple present indicative form of command
7990,commands,plural of command
7991,justified,Having a justification.
7992,justified,simple past tense and past participle of justify
7993,Atlantic,The Atlantic Ocean.
7994,Atlantic,Pertaining to the Atlantic Ocean.
7995,Atlantic,(rail transport) A steam locomotive of the 4-4-2 wheel arrangement.
7996,stomach,An organ in animals that stores food in the process of digestion.
7997,stomach,"(transitive) To tolerate (something), emotionally, physically, or mentally; to stand or handle something."
7998,improved,That has been made better; enhanced.
7999,improved,simple past tense and past participle of improve
8000,admire,"(obsolete, transitive) To be amazed at; to view with surprise; to marvel at."
8001,openly,"In an open manner, visibly, not covertly."
8002,sailors,plural of sailor
8003,abide,(transitive) To endure without yielding; to withstand; await defiantly; to encounter; to persevere. [from mid-12th century]
8004,advancing,present participle of advance
8005,advancing,The act of proceeding forward; an advance.
8006,forests,plural of forest
8007,forests,Third-person singular simple present indicative form of forest
8008,records,plural of record
8009,records,Third-person singular simple present indicative form of record
8010,Polly,"A female given name, nickname for Mary created by rhyming with Molly."
8011,recorded,simple past tense and past participle of record
8012,recorded,"That has been fixed into a physical medium (for example, a book, compact disc or videotape)."
8013,modification,the act or result of modifying or the condition of being modified
8014,dramatic,Of or relating to the drama.
8015,statements,plural of statement
8016,upstairs,Located on a higher floor or level of a building.
8017,upstairs,Up the stairs; on a higher floor or level.
8018,upstairs,An upper storey.
8019,varied,simple past tense and past participle of vary
8020,varied,diverse or miscellaneous
8021,letting,present participle of let
8022,letting,(Britain) The rental of accommodation.
8023,Wilson,"An English, Scottish and northern Irish patronymic surname​."
8024,comrades,plural of comrade
8025,sets,plural of set
8026,sets,Third-person singular simple present indicative form of set
8027,descent,An instance of descending; act of coming down.
8028,whither,"(archaic, formal, poetic or literary) To where."
8029,whither,"(intransitive, obsolete, dialectal) To wuther."
8030,envy,Resentful desire of something possessed by another or others (but not limited to material possessions). [from 13thc.]
8031,envy,(transitive) To feel displeasure or hatred towards (someone) for their good fortune or possessions. [from 14th c.]
8032,load,A burden; a weight to be carried.
8033,load,(transitive) To put a load on or in (a means of conveyance or a place of storage).
8034,pretend,"To claim, to allege, especially when falsely or as a form of deliberate deception. [from 14th c.]"
8035,pretend,"Not really what it is represented as being; imaginary, feigned."
8036,folded,simple past tense and past participle of fold
8037,brass,"(uncountable, slang) Brass in pocket; money."
8038,brass,(slang) Brass monkey; cold.
8039,brass,(uncountable) A metallic alloy of copper and zinc used in many industrial and plumbing applications.
8040,brass,"Made of brass, of or pertaining to brass."
8041,brass,to coat with brass
8042,internal,inside of something
8043,furious,Feeling great anger; raging; violent.
8044,curtain,"A piece of cloth covering a window, bed, etc. to offer privacy and keep out light."
8045,curtain,To cover (a window) with a curtain; to hang curtains.
8046,healthy,"Enjoying health and vigor of body, mind, or spirit: well."
8047,obscure,"Dark, faint or indistinct."
8048,obscure,"(transitive) To render obscure; to darken; to make dim; to keep in the dark; to hide; to make less visible, intelligible, legible, glorious, beautiful, or illustrious."
8049,summit,"(countable) A peak; the topmost point or surface, as of a mountain."
8050,summit,"(transitive, hiking, climbing, colloquial) To reach the summit of a mountain."
8051,alas,"A type of depression which occurs in Yakutia, formed by the subsidence of permafrost."
8052,alas,"Used to express sorrow, regret, compassion or grief."
8053,fifth,The ordinal form of the number five.
8054,fifth,The person or thing in the fifth position.
8055,fifth,a music technique
8056,center,The point in the interior of a circle that is equidistant from all points on the circumference. [from 14th c.]
8057,center,"Of, at, or related to a center."
8058,center,(transitive) To cause (an object) to occupy the center of an area.
8059,faced,simple past tense and past participle of face
8060,faced,(in combination) Having a specified type or number of face.
8061,faced,(slang) drunk
8062,cheap,(obsolete) Trade; traffic; chaffer; chaffering.
8063,cheap,Low and/or reduced in price.
8064,cheap,"(intransitive, obsolete) To trade; traffic; bargain; chaffer; ask the price of goods; cheapen goods."
8065,cheap,Cheaply.
8066,saints,plural of saint
8067,saints,Third-person singular simple present indicative form of saint
8068,colonel,"A commissioned officer in an armed military organization, typically the highest rank before flag officer ranks (generals). It is generally found in armies, air forces or naval infantry (marines)."
8069,colonel,(intransitive) To act as or like a colonel.
8070,Egyptian,"Of, from, or pertaining to Egypt, the Egyptian people or the Egyptian language."
8071,Egyptian,A person from Egypt or of Egyptian descent.
8072,Egyptian,The Afro-Asiatic language spoken in ancient Egypt.
8073,contest,(uncountable) Controversy; debate.
8074,contest,(intransitive) To contend.
8075,owned,simple past tense and past participle of own
8076,adventures,plural of adventure
8077,adventures,Third-person singular simple present indicative form of adventure
8078,exclusion,The act of excluding or shutting out; removal from consideration or taking part. [from 17th c.]
8079,seize,(transitive) To deliberately take hold of; to grab or capture.
8080,chances,plural of chance
8081,chances,Third-person singular simple present indicative form of chance
8082,springs,plural of spring
8083,springs,Third-person singular simple present indicative form of spring
8084,alter,(transitive) To change the form or structure of.
8085,alter,(especially in the plural) One of the identities or personalities of a person with multiple personality disorder / dissociative identity disorder.
8086,landing,Corridor.
8087,landing,present participle of land
8088,fence,A thin artificial barrier that separates two pieces of land or a house perimeter.
8089,fence,"(transitive) To enclose, contain or separate by building fence."
8090,leagues,plural of league
8091,leagues,Third-person singular simple present indicative form of league
8092,glimpse,"A brief look, glance, or peek."
8093,glimpse,(transitive) To see or view briefly or incompletely.
8094,statue,"A three-dimensional work of art, usually representing a person or animal, usually created by sculpting, carving, molding, or casting."
8095,statue,(transitive) To form a statue of; to make into a statue.
8096,contract,"(transitive, intransitive) To draw together or nearer; to shorten, narrow, or lessen."
8097,contract,"An agreement between two or more parties, to perform a specific job or work order, often temporary or of fixed duration and usually governed by a written agreement."
8098,contract,(obsolete) Contracted; affianced; betrothed.
8099,luxury,Very wealthy and comfortable surroundings.
8100,luxury,very expensive
8101,artillery,"Large cannon-like weapons, transportable and usually operated by more than one person."
8102,doubts,plural of doubt
8103,doubts,Third-person singular simple present indicative form of doubt
8104,saving,A reduction in cost or expenditure.
8105,saving,present participle of save
8106,saving,(theology) That saves someone from damnation; redemptive. [from 14th c.]
8107,saving,With the exception of; except; save.
8108,fro,(slang) An afro (hairstyle)
8109,fro,(archaic) From; away; back or backward.
8110,string,"(countable) A long, thin and flexible structure made from threads twisted together."
8111,string,(transitive) To put (items) on a string.
8112,combination,"The act of combining, the state of being combined or the result of combining."
8113,awakened,simple past tense and past participle of awaken
8114,awakened,Having been woken up.
8115,faded,simple past tense and past participle of fade
8116,faded,(sometimes figuratively) That has lost some of its former colour or intensity.
8117,arrest,"A check, stop, an act or instance of arresting something."
8118,arrest,"(obsolete, transitive) To stop the motion of (a person or animal). [14th-19th c.]"
8119,protected,defended
8120,protected,simple past tense and past participle of protect
8121,temperature,(obsolete) The state or condition of being tempered or moderated.
8122,strict,Strained; drawn close; tight.
8123,contented,simple past tense and past participle of content
8124,contented,Satisfied.
8125,professional,A person who belongs to a profession
8126,professional,"Of, pertaining to, or in accordance with the (usually high) standards of a profession."
8127,intent,A purpose; something that is intended.
8128,intent,Firmly fixed or concentrated on something.
8129,injured,simple past tense and past participle of injure
8130,neighborhood,"(chiefly obsolete) The quality of being a neighbor, of living nearby, next to each-other; proximity."
8131,Andrew,A male given name.
8132,abundance,A large quantity; many. [First attested around 1150 to 1350.]
8133,smoking,The act or process of emitting smoke.
8134,smoking,present participle of smoke
8135,smoking,Giving off smoke.
8136,yourselves,"You (plural), used as the object of a verb or preposition, referring to the people being spoken to, previously mentioned."
8137,medical,Of or pertaining to the practice of medicine.
8138,medical,(informal) A medical examination.
8139,garrison,A permanent military post.
8140,garrison,To assign troops to a military post.
8141,likes,plural of like
8142,likes,Third-person singular simple present indicative form of like
8143,corps,(military) A battlefield formation composed of two or more divisions.
8144,heroic,Of or relating to a hero or heroine; supremely noble
8145,heroic,A heroic verse.
8146,inform,Without regular form; shapeless; ugly; deformed.
8147,inform,"(archaic, transitive) To instruct, train (usually in matters of knowledge)."
8148,retained,simple past tense and past participle of retain
8149,agitation,"The act of agitating, or the state of being agitated; the state of being moved with violence, or with irregular action; commotion."
8150,nobles,plural of noble
8151,prominent,"Standing out, or projecting; jutting; protuberant."
8152,institution,A custom or practice of a society or community.
8153,judged,simple past tense and past participle of judge
8154,embrace,To clasp (someone or each other) in the arms with affection; to take in the arms; to hug.
8155,embrace,Hug (noun); putting arms around someone.
8156,wheels,plural of wheel
8157,wheels,Third-person singular simple present indicative form of wheel
8158,closing,The act by which something is closed.
8159,closing,Coming after all others.
8160,closing,present participle of close
8161,damaged,simple past tense and past participle of damage
8162,damaged,Suffered a damage.
8163,pack,"A bundle made up and prepared to be carried; especially, a bundle to be carried on the back, but also a load for an animal, a bale"
8164,pack,"(physical) To put or bring things together in a limited or confined space, especially for storage or transport."
8165,affections,plural of affection
8166,affections,Third-person singular simple present indicative form of affection
8167,eldest,superlative form of old: most old; greatest in age or seniority.
8168,eldest,"(card games) (of a player) Receiving cards from the dealer first, before any other players."
8169,eldest,"The eldest child in a family, or individual in a group."
8170,anguish,"Extreme pain, either of body or mind; excruciating distress."
8171,anguish,(intransitive) To suffer pain.
8172,surrounding,present participle of surround
8173,surrounding,An outlying area; area in proximity to something
8174,surrounding,which surrounds something
8175,obviously,In a obvious manner; clearly apparent.
8176,strictly,In a strict manner.
8177,capture,An act of capturing; a seizing by force or stratagem.
8178,capture,(transitive) To take control of; to seize by force or stratagem.
8179,drops,plural of drop
8180,drops,Third-person singular simple present indicative form of drop
8181,inquire,"(intransitive, US) To ask (about something)."
8182,ample,"Large; great in size, extent, capacity, or bulk; for example spacious, roomy or widely extended."
8183,remainder,A part or parts remaining after some has/have been removed.
8184,remainder,Remaining.
8185,remainder,(commerce) To mark or declare items left unsold as subject to reduction in price.
8186,justly,In a just or fair manner; rightfully.
8187,recollection,"The act of recollecting, or recalling to the memory; the act of recalling to memory"
8188,recollection,Process of collecting again.
8189,deer,"A ruminant mammal with antlers and hooves of the family Cervidae, or one of several similar animals from related families of the order Artiodactyla."
8190,answers,plural of answer
8191,answers,Third-person singular simple present indicative form of answer
8192,bedroom,A room in a house where a bed is kept for sleeping.
8193,purely,"(now  US  regional) Wholly; really, completely. [from 14th c.]"
8194,bush,"(horticulture) A woody plant distinguished from a tree by its multiple stems and lower height, being usually less than six metres tall; a horticultural rather than strictly botanical category."
8195,bush,(intransitive) To branch thickly in the manner of a bush.
8196,bush,(archaic) A tavern or wine merchant.
8197,bush,"(often with ""the"") Rural areas, typically remote, wooded, undeveloped and uncultivated."
8198,bush,(Australia) Towards the direction of the outback.
8199,bush,(colloquial) Not skilled; not professional; not major league.
8200,bush,"(baseball) Amateurish behavior, short for ""bush league behavior"""
8201,bush,A thick washer or hollow cylinder of metal.
8202,bush,(transitive) To furnish with a bush or lining.
8203,plunged,simple past tense and past participle of plunge
8204,thyself,"(archaic, literary, dialectal) yourself (as the object of a verb or preposition or as an intensifier); reflexive case of thou"
8205,joint,Done by two or more people or organisations working together.
8206,joint,"The point where two components of a structure join, but are still able to rotate."
8207,joint,(transitive) To unite by a joint or joints; to fit together; to prepare so as to fit together
8208,refer,(transitive) To direct the attention of.
8209,expecting,present participle of expect
8210,expecting,"Of a woman or female animal, in expectation of giving birth; pregnant."
8211,expecting,The process by which somebody expects something.
8212,madam,(dated  in the UK) A polite form of address for a woman or lady.
8213,madam,"(transitive) To address as ""madam""."
8214,railroad,(chiefly US) A permanent road consisting of fixed metal rails to drive trains or similar motorized vehicles on.
8215,railroad,(transitive) To transport via railroad.
8216,spake,(archaic) simple past tense of speak
8217,spake,(obsolete) Quiet; tame.
8218,respecting,present participle of respect
8219,respecting,regarding; considering
8220,Jan,"A female nickname, sometimes used as a formal given name."
8221,Jan,"A male given name, in English mostly applied to foreign language speakers."
8222,Jan,(dated) A male given name
8223,columns,plural of column
8224,weep,The lapwing; the wipe.
8225,weep,To cry; shed tears.
8226,identify,(transitive) To establish the identity of someone or something.
8227,discharge,"To accomplish or complete, as an obligation."
8228,discharge,"(medicine, uncountable) Pus or exudate (other than blood) from a wound or orifice, usually due to infection or pathology."
8229,bench,"(transitive and intransitive, colloquial) To lift by bench pressing"
8230,bench,"(weightlifting) The weight one is able to bench press, especially the maximum weight capable of being pressed."
8231,bench,Alternative spelling of bentsh
8232,bench,"A long seat with or without a back, found for example in parks and schools."
8233,bench,"(transitive, sports) To remove a player from play."
8234,Ralph,A male given name.
8235,heir,"Someone who inherits, or is designated to inherit, the property of another."
8236,heir,"(transitive, intransitive) To inherit."
8237,oak,"(countable) A deciduous tree with distinctive deeply lobed leaves, acorns, and notably strong wood, typically of England and northeastern North America, included in genus Quercus."
8238,oak,"having a rich brown colour, like that of oak wood."
8239,rescue,"To save from any violence, danger or evil."
8240,rescue,"An act or episode of rescuing, saving."
8241,limit,"(transitive) To restrict; not to allow to go beyond a certain bound, to set boundaries."
8242,limit,A restriction; a bound beyond which one may not go.
8243,limit,(poker) Being a fixed limit game.
8244,unpleasant,Not pleasant.
8245,anxiously,In an anxious manner; with painful uncertainty; solicitously.
8246,innocence,Absence of responsibility for a crime.
8247,awoke,simple past tense of awake
8248,expectation,The act or state of expecting or looking forward to an event as about to happen.
8249,incomplete,Not complete; not finished
8250,incomplete,Something incomplete.
8251,program,A set of structured activities.
8252,program,(transitive) To enter a program or other instructions into (a computer or other electronic device) to instruct it to do a particular task.
8253,reserved,simple past tense and past participle of reserve
8254,reserved,(comparable) Slow to reveal emotion or opinions.
8255,secretly,"In secret, covertly."
8256,invention,Something invented.
8257,faults,plural of fault
8258,faults,Third-person singular simple present indicative form of fault
8259,disagreeable,"Not agreeable, conformable, or congruous; contrary; unsuitable."
8260,disagreeable,Something displeasing; anything that is disagreeable.
8261,piano,"(music) Softly, as a musical direction (abbreviated to p. in sheet music). [from 17th c.]"
8262,piano,"(music) A keyboard musical instrument, usually ranging over seven octaves, with white and black keys, played by pressing these keys, causing hammers to strike strings. [from  1803]"
8263,piano,"(music) Soft, quiet."
8264,defeated,"Subjugated, beaten, overcome."
8265,defeated,simple past tense and past participle of defeat
8266,charms,plural of charm
8267,charms,Third-person singular simple present indicative form of charm
8268,purse,A small bag for carrying money.
8269,purse,(transitive) To press (one's lips) in and together so that they protrude.
8270,persuade,"(transitive) To successfully convince (someone) to agree to, accept, or do something, usually through reasoning and verbal influence. Compare sway."
8271,deprived,Subject to deprivation; poor.
8272,deprived,past participle of deprive
8273,electric,"Of, relating to, produced by, operated with, or utilising electricity; electrical."
8274,electric,"(informal, uncountable, usually with definite article) Electricity; the electricity supply."
8275,endless,Having no end.
8276,interval,A distance in space.
8277,chase,The act of one who chases another; a pursuit.
8278,chase,(transitive) To pursue.
8279,chase,(printing) A rectangular steel or iron frame into which pages or columns of type are locked for printing or plate-making.
8280,chase,A groove cut in an object; a slot: the chase for the quarrel on a crossbow.
8281,chase,(transitive) To groove; indent.
8282,heroes,plural of hero
8283,invisible,Unable to be seen; out of sight; not visible.
8284,invisible,"To make invisible, to invisiblize."
8285,invisible,"(obsolete) An invisible person or thing; specifically, God, the Supreme Being."
8286,well-known,"Familiar, famous, renowned or widely known."
8287,occupy,(transitive) To take or use time.
8288,Jacob,"One of the sons of Isaac and Rebecca, and twin brother of Esau; father of the Israelites."
8289,Jacob,A breed of multihorned sheep.
8290,gown,"A loose, flowing upper garment."
8291,gown,"To dress in a gown, to don or garb with a gown."
8292,cruelty,(uncountable) An indifference to suffering or pleasure in inflicting suffering.
8293,lock,"A tuft or length of hair, wool etc."
8294,lock,"Something used for fastening, which can only be opened with a key or combination."
8295,lock,(intransitive) To become fastened in place.
8296,lowest,superlative form of low: most low
8297,lowest,superlative form of low: most low
8298,hesitation,An act of hesitating
8299,withdrew,simple past tense of withdraw
8300,proposal,"Something which is proposed, or offered for consideration or acceptance"
8301,destiny,That to which any person or thing is destined; a predetermined state; a condition predestined by the Divine or by human will
8302,recognised,Non-Oxford British English standard spelling of recognized.
8303,recognised,simple past tense and past participle of recognise
8304,commons,plural of common
8305,commons,Third-person singular simple present indicative form of common
8306,foul,"Covered with, or containing unclean matter; dirty."
