,Word,definition
11132,sharing,Something shared.
11137,bronze,"(uncountable) A naturally occurring or man-made alloy of copper, usually in combination with tin, but also with one or more other metals."
11143,garment,A single item of clothing.
11147,remorse,A feeling of regret or sadness for doing wrong or sinning.
11153,dew,(uncountable) Any moisture from the atmosphere condensed by cool bodies upon their surfaces.
11154,monk,A male member of a monastic order who has devoted his life for religious service.
11160,hue,"A color, or shade of color; tint; dye."
11163,funds,plural of fund
11165,porter,A person who carries luggage and related objects.
11170,dash,"(typography) Any of the following symbols: ‒ (figure dash), – (en dash), — (em dash), or ― (horizontal bar)."
11182,strip,"(countable, uncountable) Long, thin piece of land, or of any material."
11185,team,"A set of draught animals, such as two horses in front of a carriage."
11188,missionary,One who is sent on a mission.
11192,tracks,plural of track
11194,envelope,"A paper or cardboard wrapper used to enclose small, flat items, especially letters, for mailing."
11199,headquarters,The military installation from which troops are commanded and orders are issued; the military unit consisting of a commander and his support staff.
11202,brandy,(uncountable) An alcoholic liquor distilled from wine or fermented fruit juice.
11207,homer,"(historical  units of measure) A former Hebrew unit of dry volume, about equal to 230 L or 6½ bushels."
11210,talks,plural of talk
11215,cigarette,"Tobacco or other substances, in a thin roll wrapped with paper, intended to be smoked."
11217,motor,"A machine or device that converts any form of energy into mechanical energy, or imparts motion."
11223,volunteer,"One who enters into, or offers for, any service of his/her own free will, especially when done without pay."
11225,offspring,A person's daughter(s) and/or son(s); a person's children.
11226,network,A fabric or structure of fibrous elements attached to each other at regular intervals.
11228,reaches,plural of reach
11239,reaction,An action or statement in response to a stimulus or other event
11240,regiments,plural of regiment
11244,sums,plural of sum
11247,prejudices,plural of prejudice
11249,baggage,(usually uncountable) Luggage; traveling equipment
11250,terrace,A platform that extends outwards from a building.
11256,allusion,"An indirect reference; a hint; a reference to something supposed to be known, but not explicitly mentioned"
11262,juice,"(uncountable) A liquid from a plant, especially fruit."
11267,humility,The characteristic of being humble; humbleness in character and behavior.
11270,blast,A violent gust of wind.
11275,ministry,"Government department, at the administrative level normally headed by a minister (or equivalent rank, e.g. secretary of state), who holds it as portfolio, especially in a constitutional monarchy, but also as a polity"
11279,diameter,(geometry) Any straight line between two points on the circumference of a circle that passes through the centre/center of the circle.
11280,troop,(collective) A collection of people; a number; a multitude (in general).
11284,crowds,plural of crowd
11286,marrying,A marriage.
11292,axe,"A tool for felling trees or chopping wood etc. consisting of a heavy  head flattened to a blade on one side, and a  handle attached to it."
11298,penalty,A legal sentence.
11305,diamond,(uncountable) A glimmering glass-like mineral that is an allotrope of carbon in which each atom is surrounded by four others in the form of a tetrahedron.
11310,boards,plural of board
11311,corridor,"A narrow hall or passage with rooms leading off it, as in a building or in a railway carriage."
11315,cells,plural of cell
11317,proportions,plural of proportion
11322,echo,A reflected sound that is heard again by its initial observer.
11324,restraint,"(countable) something that restrains, ties, fastens or secures"
11325,trials,plural of trial
11327,reads,plural of read
11329,identity,"Sameness, identicalness; the quality or fact of (several specified things) being the same."
11337,stages,plural of stage
11339,sway,The act of swaying; a swaying motion; a swing or sweep of a weapon.
11343,screen,"A physical divider intended to block an area from view, or provide shelter from something dangerous."
11347,dirt,(chiefly US) Soil or earth.
11350,era,"A time period of indeterminate length, generally more than one year."
11352,ambassador,A minister of the highest rank sent to a foreign court to represent there his sovereign or country. (Sometimes called ambassador-in-residence)
11356,interference,"The act of interfering with something, or something that interferes."
11357,eyebrows,plural of eyebrow
11359,shapes,plural of shape
11364,acceptance,"The act of accepting; a receiving of something offered, with acquiescence, approbation, or satisfaction; especially, favourable reception; approval."
11365,displays,plural of display
11367,flashing,"(roofing) Components used to weatherproof or seal roof system edges at perimeters, penetrations, walls, expansion joints, valleys, drains and other places where the roof covering is interrupted or terminated."
11371,beauties,plural of beauty
11380,engineer,A person who is qualified or professionally engaged in any branch of engineering.
11382,rapidity,"speed, swiftness; the condition of being rapid"
11390,devils,plural of devil
11392,stamp,"An act of stamping the foot, paw or hoof."
11394,compact,An agreement or contract.
11398,whites,plural of white
11401,encoding,"(computing) The way in which symbols are mapped onto bytes, e.g. in the rendering of a particular font, or in the mapping from keyboard input into visual text."
11403,drift,(physical) Movement; that which moves or is moved.
11408,counter,"An object (now especially a small disc) used in counting or keeping count, or as a marker in games, etc."
11424,objections,plural of objection
11427,ray,A beam of light or radiation.
11432,climbing,"(uncountable) The sport of climbing, ascending a wall or a rock or another object using available holds, generally with the safety of a rope and belayer."
11438,competition,(uncountable) The action of competing.
11439,suggestions,plural of suggestion
11440,ink,"A pigment (or dye)-based fluid used for writing, printing etc."
11443,crystal,(countable) A solid composed of an array of atoms or molecules possessing long-range order and arranged in a pattern which is periodic in three dimensions.
11446,shower,A brief fall of precipitation.
11448,diseases,plural of disease
11452,draught,(Britain) Alternative form of draft in its various senses.
11458,armour,"(uncountable) A protective layer over a body, vehicle, or other object intended to deflect or diffuse damaging forces."
11462,bottles,plural of bottle
11466,kin,Race; family; breed; kind.
11469,cellar,"An enclosed underground space, often under a building, used for storage or shelter."
11472,falsehood,(uncountable) The property of being false.
11473,pillars,plural of pillar
11477,worlds,plural of world
11484,stealing,(uncountable) The action of the verb to steal.
11491,frost,"A cover of minute ice crystals on objects that are exposed to the air. Frost is formed by the same process as dew, except that the temperature of the frosted object is below freezing."
11493,device,"Any piece of equipment made for a particular purpose, especially a mechanical or electrical one."
11494,glare,"(uncountable) An intense, blinding light."
11497,touches,plural of touch
11499,senate,"In some bicameral legislative systems, the upper house or chamber."
11503,communion,A joining together of minds or spirits.
11507,coffin,A rectangular closed box in which the body of a dead person is placed for burial.
11514,forgiveness,The action of forgiving.
11520,contemplation,The act of the mind in considering with attention; continued attention of the mind to a particular subject; meditation; musing; study.
11522,manufacture,The action or process of making goods systematically or on a large scale.
11533,labors,plural of labor
11537,inscription,The act of inscribing.
11540,indulgence,the act of indulging
11550,exhibition,"An instance of exhibiting, or something exhibited."
11555,quest,"A journey or effort in pursuit of a goal (often lengthy, ambitious, or fervent); a mission."
11557,compliments,plural of compliment
11558,crest,"A tuft, or other natural ornament, growing on an animal's head, for example the comb of a cockerel, the swelling on the head of a snake, the lengthened feathers of the crown or nape of bird, etc."
11560,extension,The act of extending; a stretching out; enlargement in length or breadth; an increase
11561,uneasiness,"The state of being uneasy, nervous or restless."
11565,lakes,plural of lake
11569,meadow,"A field or pasture; a piece of land covered or cultivated with grass, usually intended to be mown for hay."
11575,controversy,"A debate, discussion of opposing opinions; strife."
11577,resignation,The act of resigning.
11578,tempest,"A storm, especially one with severe winds."
11580,guidance,The act or process of guiding.
11581,prospects,plural of prospect
11591,honours,plural of honour
11594,checks,plural of check
11597,dainty,"(obsolete) Esteem, honour."
11603,commencement,The first existence of anything; act or fact of commencing
11605,brightness,The quality of being bright.
11606,oppression,"The exercise of authority or power in a burdensome, cruel, or unjust manner."
11608,conspiracy,"The act of two or more persons, called conspirators, working secretly to obtain some goal, usually understood with negative connotations."
11610,splendor,"Great light, luster or brilliance."
11611,preservation,"The act of preserving; care to preserve; act of keeping from destruction, decay or any ill."
11612,pub,"A public house where beverages, primarily alcoholic, may be bought and consumed, also providing food and sometimes entertainment such as live music or television."
11616,pepper,A plant of the family Piperaceae.
11618,basin,"A wide bowl for washing, sometimes affixed to a wall."
11626,grove,A small forest.
11628,calamity,An event resulting in great loss.
11629,pony,Any of several small breeds of horse under 14.2 hands.
11633,vigour,"Active strength or force of body or mind; capacity for exertion, physically, intellectually, or morally; energy."
11634,melody,tune; sequence of notes that makes up a musical phrase
11636,descendants,plural of descendant
11637,hire,Payment for the temporary use of something.
11639,speculation,The process of thinking or meditating on a subject.
11640,discoveries,plural of discovery
11645,candidate,A person who is running in an election.
11652,foreigners,plural of foreigner
11656,instincts,plural of instinct
11657,telegraph,"(historical) An apparatus, or a process, for communicating rapidly between distant points, especially by means of established visible or audible signals representing words or ideas, or by means of words and signs, transmitted by electrical means."
11660,university,"Institution of higher education (typically accepting students from the age of about 17 or 18, depending on country, but in some exceptional cases able to take younger students) where subjects are studied and researched in depth and degrees are offered."
11663,patron,One who protects or supports; a defender or advocate.
11673,patriotism,Love of one's country; devotion to the welfare of one's compatriots; passion which inspires one to serve one's country.
11675,earnestness,The quality of being earnest; sincerity; seriousness.
11676,exertion,An expenditure of physical or mental effort.
11677,fox,"A red fox, small carnivore (Vulpes vulpes), related to dogs and wolves, with red or silver fur and a bushy tail."
11680,horsemen,plural of horseman
11681,inspection,"The act of examining something, often closely."
11682,stations,plural of station
11694,traitor,"Someone who violates an allegiance and betrays their country; someone guilty of treason; one who, in breach of trust, delivers their country to an enemy, or yields up any fort or place entrusted to his defense, or surrenders an army or body of troops to the enemy, unless when vanquished"
11697,associations,plural of association
11699,foundations,plural of foundation
11705,telegram,A message transmitted by telegraph.
11707,beggar,A person who begs.
11709,chimney,A vertical tube or hollow column used to emit environmentally polluting gaseous and solid matter (including but not limited to by-products of burning carbon or hydrocarbon based fuels); a flue.
11716,magistrates,plural of magistrate
11721,graces,plural of grace
11724,oars,plural of oar
11726,apology,An expression of remorse or regret for having said or done something that harmed another: an instance of apologizing (saying that one is sorry).
11729,imprisonment,"A confinement in a place, especially a prison or a jail, as punishment for a crime."
11730,eastward,The direction or area lying to the east.
11736,handful,The amount that a hand will grasp or contain.
11737,usage,The manner or the amount of using; use.
11740,villain,"(Can we clean up(+) this sense?) (The addition of quotations indicative of this usage is being sought): A vile, wicked person."
11744,restoration,The process of bringing an object back to its original state; the process of restoring something.
11745,serpent,A snake.
11747,hedge,"A thicket of bushes or other shrubbery, especially one planted as a fence between two portions of land, or to separate the parts of a garden."
11751,jurisdiction,"The power, right, or authority to interpret and apply the law."
11752,captains,plural of captain
11754,settlers,plural of settler
11762,storms,plural of storm
11764,beam,"Any large piece of timber or iron long in proportion to its thickness, and prepared for use."
11768,tour,"A journey through a particular building, estate, country, etc."
11772,prophecy,"A prediction, especially one made by a prophet or under divine inspiration."
11774,spectacles,plural of spectacle
11779,shepherd,"A person who tends sheep, especially a grazing flock."
11781,wells,plural of well
11789,travels,plural of travel
11791,earl,A British or Irish nobleman next in rank above a viscount and below a marquess; equivalent to a European count. A female using the style is termed a countess.
11801,hostess,A female host.
11803,agriculture,"The art or science of cultivating the ground, including the harvesting of crops, and the rearing and management of livestock"
11804,boughs,plural of bough
11808,ports,plural of port
11810,accuracy,"The state of being accurate; being free from mistakes, this exemption arising from carefulness; exactness; correctness"
11816,possibilities,plural of possibility
11826,bud,A newly sprouted leaf or blossom that has not yet unfolded.
11831,blanket,"A heavy, loosely woven fabric, usually large and woollen, used for warmth while sleeping or resting."
11834,hail,"Balls or pieces of ice falling as precipitation, often in connection with a thunderstorm."
11839,pretence,(British spelling) An act of pretending or pretension; a false claim or pretext.
11840,beams,plural of beam
11843,pig,"Any of several intelligent mammalian species of the genus Sus, having cloven hooves, bristles and a nose adapted for digging; especially the domesticated animal Sus scrofa."
11848,oven,A chamber used for baking or heating.
11851,ivory,"(uncountable) The hard white form of dentine which forms the tusks of elephants, walruses and other animals."
11853,northward,The direction or area lying to the north of a place.
11858,policeman,"A member of a police force, especially one who is male."
11864,bishops,plural of bishop
11866,complaints,plural of complaint
11873,8vo,"(paper) Abbreviation of octavo., a page size (5""-6.25"" x 7.5""-10"")."
11874,cord,"A long, thin, flexible length of twisted yarns (strands) of fiber (rope, for example); (uncountable) such a length of twisted strands considered as a commodity."
11876,flows,plural of flow
11878,personage,"A person, especially one who is famous or important."
11882,wrongs,plural of wrong
11884,extract,Something that is extracted or drawn out.
11887,lungs,plural of lung
11893,kisses,plural of kiss
11897,pint,"A unit of volume, equivalent to:"
11900,proclamation,A statement which is proclaimed; formal public announcement.
11902,pipes,plural of pipe
11908,tube,Anything that is hollow and cylindrical in shape.
11910,observer,"One who makes observations, monitors or takes notice"
11912,avenue,"A broad street, especially one bordered by trees."
11913,elephant,"A mammal of the order Proboscidea, having a trunk, and two large ivory tusks jutting from the upper jaw."
11915,footing,A ground for the foot; place for the foot to rest on; firm foundation to stand on.
11917,statesman,A man who is a leader in national or international affairs.
11918,rebels,plural of rebel
11920,nails,plural of nail
11922,wears,plural of wear
11926,edges,plural of edge
11933,bee,"A flying insect, of the clade Anthophila within the hymenopteran superfamily Apoidea, known for its organised societies (though only a minority have them), for collecting pollen and (in some species) producing wax and honey."
11949,actor,A person who performs in a theatrical play or film.
11950,disturbance,"The act of disturbing, being disturbed."
11951,sweat,Fluid that exits the body through pores in the skin usually due to physical stress and/or high temperature for the purpose of regulating body temperature and removing certain compounds from the circulation.
11959,blossoms,plural of blossom.
11962,folds,plural of fold
11965,polish,A substance used to polish.
11967,shudder,"A shivering tremor, often from fear or horror."
11969,roofs,plural of roof
11973,begging,The act of one who begs.
11989,cage,"An enclosure made of bars, normally to hold animals."
11991,esq,Abbreviation of esquire.
11993,cargo,"Freight carried by a ship, aircraft, or motor vehicle."
11994,negotiations,plural of negotiation
11996,jail,"A place or institution for the confinement of persons held in lawful custody or detention, especially for minor offenses or with reference to some future judicial proceeding."
11999,ideals,plural of ideal
12002,illusion,(countable) Anything that seems to be something that it is not.
12003,torment,(obsolete) A catapult or other kind of war-engine.
12006,crowns,plural of crown
12009,repentance,The condition of being penitent.
12010,blankets,plural of blanket
12012,proprietor,An owner.
12013,uncertainty,(uncountable) Doubt; the condition of being uncertain or without conviction.
12018,covers,plural of cover
12020,scream,"A loud, emphatic, exclamation of extreme emotion, especially horror, fear, excitement, or anger; it may comprise a word or a sustained, high-pitched vowel sound."
12022,compromise,The settlement of differences by arbitration or by consent reached by mutual concessions.
12025,chariot,"A two-wheeled horse-drawn vehicle, used in Bronze Age and Early Iron Age warfare."
12027,ammunition,"Articles used in charging firearms and ordnance of all kinds; as powder, balls, shot, shells, percussion caps, rockets, etc."
12029,bonnet,"A type of hat, once worn by women or children, held in place by ribbons tied under the chin."
12034,persecution,The act of persecuting.
12040,fits,plural of fit
12046,cane,"A plant with simple stems, like bamboo or sugar cane, or the stem thereof."
12053,boundary,The dividing line or location between two areas.
12060,thieves,plural of thief
12062,parlour,British spelling standard spelling of parlor.
12065,tons,plural of ton
12066,processes,plural of process
12081,lb,A pound (unit of weight).
12083,weariness,"Exhaustion, fatigue or tiredness."
12092,torrent,"A violent flow, as of water, lava, etc.; a stream suddenly raised and running rapidly, as down a precipice."
12102,meets,plural of meet
12105,circulation,"The act of moving in a circle, or in a course which brings the moving body to the place where its motion began."
12110,stress,"(biology) A physical, chemical, infective agent aggressing an organism."
12112,consumption,"The act of eating, drinking or using."
12113,groan,"A low, mournful sound uttered in pain or grief."
12115,suits,plural of suit
12119,hosts,plural of host
12122,crash,"An automobile, airplane, or other vehicle accident."
12126,epoch,"A particular period of history, especially one considered noteworthy or remarkable."
12128,quote,"A quotation, statement attributed to someone else."
12136,aristocracy,"The nobility, or the hereditary ruling class."
12137,granite,"(petrology) A group of igneous and plutonic rocks composed primarily of feldspar and quartz. Usually contains one or more dark minerals, which may be mica, pyroxene, or amphibole. Granite is quarried for building stone, road gravel, decorative stone, and tombstones. Common colors are gray, white, pink, and yellow-brown."
12140,delights,plural of delight
12148,sack,"A bag; especially a large bag of strong, coarse material for storage and handling of various commodities, such as potatoes, coal, coffee; or, a bag with handles used at a supermarket, a grocery sack; or, a small bag for small items, a satchel."
12150,slumber,"A very light state of sleep, almost awake."
12159,annoyance,(countable) That which annoys.
12160,crush,A violent collision or compression; a crash; destruction; ruin.
12162,needle,"A fine, sharp implement usually for piercing such as sewing, or knitting, acupuncture, tattooing, body piercing, medical injections, etc."
12166,phenomenon,"A thing or being, event or process, perceptible through senses; or a fact or occurrence thereof."
12175,monarchy,"A government in which sovereignty is embodied within a single, today usually hereditary head of state (whether as a figurehead or as a powerful ruler)."
12182,endeavor,A sincere attempt; a determined or assiduous effort towards a specific goal.
12184,barrier,A structure that bars passage.
12187,Canadian,A person from Canada.
12193,politeness,The quality of being polite.
12194,flora,"Plants considered as a group, especially those of a particular country, region, time, etc."
12199,convenience,The quality of being convenient.
12202,logs,plural of log
12204,lamb,A young sheep.
12215,diet,The food and beverage a person or animal consumes.
12217,praises,plural of praise
12220,mantle,"A piece of clothing somewhat like an open robe or cloak, especially that worn by Orthodox bishops. (Compare mantum.) [from 9th c.]"
12224,chicken,"(countable) A domestic fowl, Gallus gallus, especially when young."
12237,reins,plural of rein
12239,barrel,"(countable) A round vessel or cask, of greater length than breadth, and bulging in the middle, made of staves bound with hoops, and having flat ends or heads. Sometimes applied to a similar cylindrical container made of metal, usually called a drum."
12241,distrust,Lack of trust or confidence.
12243,trunks,plural of trunk
12246,hunters,plural of hunter
12247,feather,"A branching, hair-like structure that grows on the bodies of birds, used for flight, swimming, protection and display."
12257,luncheon,A formal meal served in the middle of the day.
12261,exertions,plural of exertion
12266,mistakes,plural of mistake
12271,jacket,"A piece of clothing worn on the upper body outside a shirt or blouse, often waist length to thigh length."
12285,displeasure,A feeling of being displeased with something or someone; dissatisfaction; disapproval.
12287,maids,plural of maid
12288,rates,plural of rate
12299,bees,plural of bee
12306,popularity,"The quality or state of being popular; especially, the state of being esteemed by, or of being in favor with, the people at large"
12307,baker,"A person who bakes and sells bread, cakes and similar items."
12311,olive,"An evergreen tree, Olea europaea, cultivated since ancient times in the Mediterranean for its fruit and the oil obtained from it."
12313,tramp,(sometimes derogatory) A homeless person; a vagabond.
12315,compensation,The act or principle of compensating.
12321,conjecture,"(formal) A statement or an idea which is unproven, but is thought to be true; a guess."
12323,van,"A (covered) vehicle used for carrying goods or people, usually roughly cuboid in shape, longer and higher than a car but smaller than a truck/lorry."
12329,waiter,"A male or sometimes female attendant who serves customers at their tables in a restaurant, café or similar."
12331,items,plural of item
12336,covenant,(law) An agreement to do or not do a particular thing.
12338,nought,Nothing; something which does not exist.
12347,sinner,A person who sins or has sinned.
12348,vigor,US spelling of vigour
12354,yoke,"Frame around the neck, and related senses."
12357,properties,plural of property
12360,threats,plural of threat
12362,lays,plural of lay
12364,hostility,(uncountable) The state of being hostile.
12365,dragging,An instance of something being dragged.
12367,mare,An adult female horse.
12370,regulations,plural of regulation
12371,obstacle,"Something that impedes, stands in the way of, or holds up progress"
12386,posterity,"All the future generations, especially the descendants of a specific person."
12389,mason,"A bricklayer, one whose occupation is to build with stone or brick"
12392,plantation,A large farm; estate or area of land designated for agricultural growth. Often includes housing for the owner and workers.
12401,oxen,plural of ox
12403,patch,"A piece of cloth, or other suitable material, sewed or otherwise fixed upon a garment to repair or strengthen it, especially upon an old garment to cover a hole."
12408,interruption,"The act of interrupting, or the state of being interrupted."
12409,lance,"A weapon of war, consisting of a long shaft or handle and a steel blade or head; a spear carried by horsemen."
12413,definition,"(semantics, lexicography) A statement of the meaning of a word or word group or a sign or symbol (dictionary definitions)."
12414,birthday,The anniversary of the day on which someone is born. [From 1570s]
12416,thumb,The short thick digit of the hand that for humans has the most mobility and can be made to oppose (moved to touch) all of the other fingers.
12418,wolves,plural of wolf
12419,hammer,A tool with a heavy head and a handle used for pounding.
12434,circuit,"The act of moving or revolving around, or as in a circle or orbit; a revolution"
12436,dominions,plural of dominion
12437,sales,plural of sale
12441,repetition,The act or an instance of repeating or being repeated.
12444,trains,plural of train
12446,skirts,plural of skirt
12450,tip,"The extreme end of something, especially when pointed; e.g. the sharp end of a pencil. [From 15th c.]"
12472,pet,An animal kept as a companion.
12478,skull,"(anatomy) The main bones of the head considered as a unit; including the cranium, facial bones, and mandible."
12480,lectures,plural of lecture
12482,ness,(geography) A promontory; a cape or headland. (frequently used as a suffix in placenames)
12484,threat,An expression of intent to injure or punish another.
12485,legislature,"A governmental body with the power to make, amend and repeal laws."
12490,jungle,"A large, undeveloped, humid forest, especially in a tropical region, that is home to many wild plants and animals."
12491,ghosts,plural of ghost
12494,famine,(uncountable) extreme shortage of food in a region
12495,palaces,plural of palace
12498,improvements,plural of improvement
12505,asp,(archaic) A water snake.
12506,blocks,plural of block
12509,shrine,"A holy or sacred place dedicated to a specific deity, ancestor, hero, martyr, saint, or similar figure of awe and respect, at which said figure is venerated or worshipped."
12511,heel,"(anatomy) The rear part of the foot, where it joins the leg."
12517,throws,plural of throw
12521,fuel,"Substance consumed to provide energy through combustion, or through chemical or nuclear reaction."
12526,frown,"A facial expression in which the eyebrows are brought together, and the forehead is wrinkled, usually indicating displeasure, sadness or worry, or less often confusion or concentration."
12527,destination,(archaic) The act of destining or appointing.
12530,moor,"an extensive waste covered with patches of heath, and having a poor, light soil, but sometimes marshy, and abounding in peat; a heath"
12532,pin,"A sewing pin or ballhead pin: a needle without an eye (usually) made of drawn-out steel wire with one end sharpened and the other flattened or rounded into a head, used for fastening."
12545,banquet,A large celebratory meal; a feast.
12550,lighting,The equipment used to provide illumination; the illumination so provided.
12557,jaws,plural of jaw
12560,patent,"A declaration issued by a government agency declaring someone the inventor of a new invention and having the privilege of stopping others from making, using or selling the claimed invention; a letter patent."
12562,courtyard,"An area, open to the sky, partially or wholly surrounded by walls or buildings."
12563,gulf,A hollow place in the earth; an abyss; a deep chasm or basin.
12569,closet,"(obsolete) Any private area, particularly bowers in the open air."
12578,pretext,"A false, contrived, or assumed purpose or reason; a pretense."
12588,margin,"(typography) The edge of the paper, typically left blank when printing but sometimes used for annotations etc."
12590,champion,An ongoing winner in a game or contest.
12595,billion,"(US, modern British & Australian, short scale) a thousand million: 1 followed by nine zeros, 109; a milliard"
12604,nick,A small cut in a surface.
12611,chapters,plural of chapter
12617,hon,"(used only to address someone) honey, sweetheart (used as a term of endearment)"
12620,maintenance,Actions performed to keep some machine or system functioning or in service
12627,pulse,"(physiology) A normally regular beat felt when arteries are depressed, caused by the pumping action of the heart."
12631,admiral,A naval officer of the highest rank; the commander of a country's naval forces.
12632,clause,"(grammar) A verb, its necessary grammatical arguments, and any adjuncts affecting them."
12636,compound,"an enclosure within which workers, prisoners, or soldiers are confined"
12640,pilot,"A person who steers a ship, a helmsman."
12650,knot,"A looping of a piece of string or of any other long, flexible material that cannot be untangled without passing one or both ends of the material through its loops."
12653,rags,plural of rag
12655,mock,"An imitation, usually of lesser quality."
12659,messages,plural of message
12665,suspense,The condition of being suspended; cessation for a time.
12670,relationship,Connection or association; the condition of being related.
12671,skirt,"An article of clothing, usually worn by women and girls, that hangs from the waist and covers the lower part of the body."
12673,agency,"The capacity, condition, or state of acting or of exerting power; action or activity; operation."
12676,grin,A smile in which the lips are parted to reveal the teeth.
12682,mills,plural of mill
12685,dining,Eating dinner as a social function.
12687,demonstration,The act of demonstrating; showing or explaining something.
12688,depression,"(psychology) In psychotherapy and psychiatry, a state of mind producing serious, long-term lowering of enjoyment of life or inability to visualize a happy future."
12691,expectations,plural of expectation
12697,trenches,plural of trench
12701,vehicle,"A conveyance; a device for carrying or transporting substances, objects or individuals."
12713,scope,"The breadth, depth or reach of a subject; a domain."
12716,vegetation,"(uncountable) Plants, taken collectively."
12720,swelling,The state of being swollen.
12726,salute,"A formal gesture made in honor of someone or something, usually with the hand or hands in one of various particular positions."
12735,crow,"A bird, usually black, of the genus Corvus, having a strong conical beak, with projecting bristles; it has a harsh, croaking call."
12736,shawl,"A square or rectangular piece of cloth worn as a covering for the head, neck, and shoulders."
12738,sunrise,The time of day when the sun appears above the eastern horizon.
12741,coats,plural of coat
12747,lifetime,The duration of the life of someone or something.
12749,sergeant,"UK army rank with NATO code OR-6, senior to corporal and junior to warrant officer ranks."
12752,brigade,A group of people organized for a common purpose.
12754,verdict,(law) A decision on an issue of fact in a civil or criminal case or an inquest.
12755,honors,plural of honor
12760,females,plural of female
12762,attribute,A characteristic or quality of a thing.
12765,hook,"a rod bent into a curved shape, typically with one end free and the other end secured to a rope or other attachment"
12767,discontent,(uncountable) Dissatisfaction.
12773,airs,plural of air
12775,tiger,"Panthera tigris, a large predatory mammal of the cat family, indigenous to Asia."
12776,messengers,plural of messenger
12778,Sabbath,"Saturday, observed in Judaism and some Christian denominations as a day of rest and worship."
12779,identification,"The act of identifying, or proving to be the same."
12780,holiness,The state or condition of being holy.
12783,housekeeper,One who looks after the home by herself; either as a wife or a hired servant.
12784,productions,plural of production
12786,rector,"In the Anglican Church, a cleric in charge of a parish and who owns the tithes of it."
12789,spark,"A small particle of glowing matter, either molten or on fire."
12791,sleeve,The part of a garment that covers the arm. [from 10th c.]
12798,highway,"A main, direct public road, especially a multi-lane, high speed thoroughfare connecting major population centers."
12801,militia,"An army of trained civilians, which may be an official reserve army, called upon in time of need, the entire able-bodied population of a state which may also be called upon, or a private force not under government control."
12802,nobleman,A peer; an aristocrat; ranks range from baron to king to emperor.
12803,energies,plural of energy
12809,affliction,"A state of pain, suffering, distress or agony."
12810,photograph,"A picture created by projecting an image onto a photosensitive surface such as a chemically treated plate or film, CCD receptor, etc."
12816,ascent,The act of ascending; a motion upwards.
12817,ditch,"A trench; a long, shallow indentation, as for irrigation or drainage."
12821,fishes,plural of fish
12824,rubbing,"An impression of an embossed or incised surface made by placing a piece of paper over it and rubbing with graphite, crayon or other coloring agent."
12827,tract,An area or expanse.
12828,standards,plural of standard
12833,ribbon,"A long, narrow strip of material used for decoration of clothing or the hair or gift wrapping."
12837,integrity,Steadfast adherence to a strict moral or ethical code.
12843,farms,plural of farm
12845,pulpit,"A raised platform in a church, usually enclosed, where the minister or preacher stands when giving the sermon."
12846,ropes,plural of rope
12850,counting,a count
12852,perfume,"A pleasant smell; the scent, odor, or odoriferous particles emitted from a sweet-smelling substance; a pleasant odor"
12855,hounds,plural of hound
12865,desolation,The act of desolating or laying waste; destruction of inhabitants; depopulation.
12867,essay,"(authorship) A written composition of moderate length, exploring a particular issue or subject."
12868,rains,plural of rain
12876,rider,"One who rides, often a horse or motorcycle."
12877,loneliness,A feeling of depression resulting from being alone or from having no companions.
12878,pond,"An inland body of standing water, either natural or man-made, that is smaller than a lake."
12881,activities,plural of activity
12886,squadron,"(obsolete) Primarily, a square; hence, a square body of troops; a body of troops drawn up in a square."
12889,novelty,The state of being new or novel; newness.
12890,wrist,"(anatomy) The complex joint between forearm bones, carpus, and metacarpals where the hand is attached to the arm; the carpus in a narrow sense."
12892,keeper,One who keeps something.
12899,li,"The Chinese mile, a traditional unit of distance equal to 1500 chis or 150 zhangs, now standardized as a half-kilometer (500 meters)."
12903,efficiency,The extent to which time is well used for the intended task.
12904,marvel,That which causes wonder; a prodigy; a miracle.
12906,tranquillity,the state of being tranquil
12908,charities,plural of charity
12911,elephants,plural of elephant
12912,elders,plural of elder
12916,tries,plural of try
12920,endurance,The measure of a person's stamina or persistence.
12925,jaw,"One of the bones, usually bearing teeth, which form the framework of the mouth."
12930,navigation,"(uncountable) The theory, practice and technology of charting a course for a ship, aircraft or spaceship or (colloquially) road vehicle."
12933,sect,An offshoot of a larger religion; a group sharing particular (often unorthodox) political and/or religious beliefs.
12935,drum,"A percussive musical instrument spanned with a thin covering on at least one end for striking, forming an acoustic chamber, affecting what materials are used to make it; a membranophone."
12937,poles,plural of pole
12939,verge,"A rod or staff of office, e.g. of a verger."
12944,sanction,"An approval, by an authority, generally one that makes something valid."
12946,Russians,plural of Russian
12950,approbation,"The act of approving; an assenting to the propriety of a thing with some degree of pleasure or satisfaction; approval, sanction, commendation or official recognition."
12954,allegiance,"Loyalty to some cause, nation or ruler."
12958,bin,"A box, frame, crib, or enclosed place, used as a storage container."
12961,ingenuity,"The ability to solve difficult problems, often in original, clever, and inventive ways."
12965,theology,"(uncountable) The study of God, or a god, or gods, and the truthfulness of religion in general."
12967,duration,An amount of time or a particular time interval.
12968,fundraising,The legitimate process of collecting money by requesting donations from individuals and businesses.
12969,adj.,(grammar) Abbreviation of adjective.
12971,collecting,"A hobby including seeking, locating, acquiring, organizing, cataloging, displaying, storing, and maintaining whatever items are of interest to the individual collector."
12977,consul,(historical) Either of the two heads of government and state of the Roman Republic or the equivalent nominal post under the Roman and Byzantine Empires.
